crd,name,reference_id,compliance_flag,alert_count,file_path
106455,PRIME BUCHHOLZ LLC,EN-019421,True,0,cache/EN-019421/FirmComplianceReport_EN-019421_v1_20250707.json
106505,SEGALL BRYANT & HAMILL,EN-021521,True,0,cache/EN-021521/FirmComplianceReport_EN-021521_v1_20250707.json
106505,SEGALL BRYANT & HAMILL,EN-128087,True,0,cache/EN-128087/FirmComplianceReport_EN-128087_v1_20250707.json
106508,CIBC ASSET MANAGEMENT INC.,EN-020912,True,0,cache/EN-020912/FirmComplianceReport_EN-020912_v1_20250707.json
106584,FAYEZ SAROFIM & CO.,EN-013191,True,0,cache/EN-013191/FirmComplianceReport_EN-013191_v1_20250707.json
106595,WELLINGTON MANAGEMENT COMPANY LLP,EN-016030,True,0,cache/EN-016030/FirmComplianceReport_EN-016030_v1_20250707.json
106720,FIDUCIENT ADVISORS LLC,EN-018440,True,0,cache/EN-018440/FirmComplianceReport_EN-018440_v1_20250707.json
106733,"BOK FINANCIAL PRIVATE WEALTH, INC.",EN-024959,True,0,cache/EN-024959/FirmComplianceReport_EN-024959_v1_20250707.json
106743,CITIZENS PRIVATE WEALTH,EN-019285,True,0,cache/EN-019285/FirmComplianceReport_EN-019285_v1_20250707.json
106746,DISCIPLINED GROWTH INVESTORS INC,EN-117740,True,0,cache/EN-117740/FirmComplianceReport_EN-117740_v1_20250707.json
106786,ALTA CAPITAL MANAGEMENT LLC,EN-016198,True,0,cache/EN-016198/FirmComplianceReport_EN-016198_v1_20250707.json
106788,SIGULER GUFF ADVISERS LLC,EN-111718,True,0,cache/EN-111718/FirmComplianceReport_EN-111718_v1_20250707.json
106928,BRADLEY FOSTER & SARGENT INC,EN-023655,True,0,cache/EN-023655/FirmComplianceReport_EN-023655_v1_20250707.json
106928,BRADLEY FOSTER & SARGENT INC,EN-014851,True,0,cache/EN-014851/FirmComplianceReport_EN-014851_v1_20250707.json
106935,WEATHERLY ASSET MANAGEMENT,EN-019318,True,0,cache/EN-019318/FirmComplianceReport_EN-019318_v1_20250707.json
106935,WEATHERLY ASSET MANAGEMENT,EN-020888,True,0,cache/EN-020888/FirmComplianceReport_EN-020888_v1_20250707.json
106976,"PROVIDENT INVESTMENT MANAGEMENT, INC.",EN-023283,True,0,cache/EN-023283/FirmComplianceReport_EN-023283_v1_20250707.json
107105,"BLACKROCK FINANCIAL MANAGEMENT, INC",EN-023121,True,0,cache/EN-023121/FirmComplianceReport_EN-023121_v1_20250707.json
10740,"PROSPERA FINANCIAL SERVICES, INC.",test-ref-10740,False,3,cache/BIZ_10740/FirmComplianceReport_test-ref-10740_v3_20250722.json
10740,"PROSPERA FINANCIAL SERVICES, INC.",test-ref-10740,False,2,cache/BIZ_10740/FirmComplianceReport_test-ref-10740_v1_20250722.json
10740,"PROSPERA FINANCIAL SERVICES, INC.",test-ref-10740,True,1,cache/BIZ_10740/FirmComplianceReport_test-ref-10740_v2_20250722.json
107485,BSW WEALTH PARTNERS,EN-019719,True,0,cache/EN-019719/FirmComplianceReport_EN-019719_v1_20250707.json
107488,ADELL HARRIMAN & CARPENTER,EN-017252,True,0,cache/EN-017252/FirmComplianceReport_EN-017252_v1_20250707.json
107517,SYM FINANCIAL ADVISORS,EN-016082,True,0,cache/EN-016082/FirmComplianceReport_EN-016082_v1_20250707.json
107548,SFMG WEALTH ADVISORS,EN-113875,True,0,cache/EN-113875/FirmComplianceReport_EN-113875_v1_20250707.json
107593,"MERIDIAN INVESTMENT ADVISORS, INC.",EN-013929,True,0,cache/EN-013929/FirmComplianceReport_EN-013929_v1_20250707.json
107618,"WEALTH DIMENSIONS GROUP, LTD.",EN-021025,True,0,cache/EN-021025/FirmComplianceReport_EN-021025_v1_20250707.json
107657,BRANSON FOWLKES & CO INC,EN-016915,True,0,cache/EN-016915/FirmComplianceReport_EN-016915_v1_20250707.json
